tweet,sarcastic
just rediscovered that my bloody nose is virtually always in my prescribed field of colour vision so i will unfortunately be dropping me out unnoticed as i often cannot continue my assigned test readings in complete peace,1
"how well done henri, cost saved us all the win # 1 nffc",1
Living with a str*ight man is like living with a four year old,0
<url> <hashtag> anal screen </hashtag> <hashtag> exotic </hashtag> exotic brunette gets her little tight butt nailed right on the office desk,0
drop some creative fun instagram captions???,0
joey the genius! now i wish that i was as brainy drunk as with him # 38 towie,1
"<user> though , i suspect you do not actually care about the truth , so whatever , go troll someone else <wink>",0
my com professor keeps talking about twitter . lel,0
I. Am. So. Tired. And impatient. And cranky. SOS. https://t.co/f7UPtIybWV,0
i love my friends,0
"Oops I watched a video about a service dog, started to cry, and now cannot stop hugging my pup so I’m just going to have to call it a day",0
@dumbdotcomm no fr like..the mental strain we go through... and it’s also the fact that a lot of these nurses we have to work with either take our free labor for granted by treating us as their personal aide or treat us like dirt ain’t right or fair.....,0
when cat sits on my feet and makes them warm 🥺🥺🥺,0
nothing says nature like the relentless sound of am commuter traffic <hashtag> ft hunter </hashtag> <hashtag> a mdogfun </hashtag> <user>,1
@ jp torialou78 presents my favourite excellent photography lesson skills! : [UNK] p lmao!!!,1
<user> yeah in the honour of the picture those lyrics sketched . <repeated> 😳,0
some raging debate on debating the importance of capturing an orlando magic summer league championship. maybe definitely a notch below just 6 inches if any decided by instant coin flip. https : / / t. nba co / ref lg0vrwkrko,1
Anyone else wanna ruin me day x,1
Why am I not famous yet cos I’m actually fucking hilarious,1
"I love calling my mom early in the morning and waking her up, I take it as pay back for all the times she never let me sleep in 😜",1
Social Care for the young is basically a bath board and bed rest and your done.,1
People who sell wedding/engagement rings on Facebook make me very uncomfortable,0
The phrase “the white people of black people” was coined to explain cishet black men’s privilege over other identities within the black community. Not to just throw around when y’all are annoyed/hateful 🙄,0
I’ve seen a lot of people on local Facebook groups asking AirBnB owners if they have any availability recently. If only there was a website you could use to find out if an AirBnB was available 🤔,1
incumbent imma still vote for the vermin supreme this june presidential election election [UNK],1
"I know it’s still summer, but being curled up on my couch with a pumpkin spice latte on a rainy Sunday has me feeling some type of way",0
surprised sjws have not tried to get call of duty banned . you can make male and female guys so you have men <allcaps> killing </allcaps> women <hashtag> misogyny </hashtag>,1
"this is what looks like , right ? <url>",0
@ mcdonaldsuk would love making a really cheeky mcdonald king ’ ’ s breakfast before leaving a very busy day at work would set you the day off off on the right foot! » [UNK] # [UNK] fancyamcdonalds,1
"<hashtag> twitter </hashtag> pushes people to read , while <hashtag> facebook </hashtag> pushes people to breed . <hashtag> true fact </hashtag>",1
i’m now reading 4 books at once what could go wrong 🧡,1
a fun musical mashup is about the local country music act playing at the backyard gym with the only one cute guy who playing old eminem hits on his mobile phone at full volume in behind the locker room shower [UNK],1
@Joelxclusive Have seen better acting on Casualty 🙈,0
im not telling them anyone else how far i voted in case it happened doesn't come true # 1 euref,1
actually consider considering attorneys applying for the patent undateables,1
stop thinking about just how no one is obsessed with telling me [UNK],1
bored ? check out > <user> newest article each word is linked to a ridiculous website ! try it out ! <url>,0
having a bad new week but so what else happen is not new!! at least i finally got get paid with [UNK],1
"dad: ""are ya sending any of those boys from 5soz (wtf is a 5soz dad) a valentines gift?"" 
me: yes dad yes i am cuz im dating all of them duh",1
i wonder what professor iaukea has to say about the new disney princess ? . <repeated> 😒,1
youre such a great person .,1
<user> <user> <user> <user> do not forget <user> and <user> they are as smart and kind as lovely,0
Sometimes I'll wake up earlier than usual so that I can have even more time to lay there doing nothing until I'm late for work.,0
roll n' square sausage and a cup of tea from Robyn's Nest on Maryhill Rd. AMAZING.,0
turned 25 today but i woke woken up prematurely with $ 600 from the illegal irs deposited in my bank account so quarter our life crisis has just been postponed,1
"""your pronouns are what's in your pants"" ok. juicy/dumper",1
people in this school seem to amaze me . <repeated>,1
is there a like tab on me ? i am not a facebook status to be liked by people . <repeated> <hashtag> rude but true </hashtag>,1
<user> oh but bradford is awful !,1
i love repeating it sometimes when first someone criticses against my parenting then their adult only son inadvertently cuts his finger off with a knife knife and fatally breaks his leg by falling off by a bike,1
<user> and we know abt the goal that never crossed the line <hashtag> holier than thou </hashtag> <hashtag> henry is a legend </hashtag>,1
"oh — also, my song — with only my middle school cheating boyfriend ” was dubbed “ heartbreak 143 ” by bobby brackins!! am i really peaked geez",1
<user> guys ! <repeated> you have just smashed it ! <repeated> <hashtag> where do broken hearts go </hashtag> <hashtag> x factor final </hashtag>,0
i did not know the story of noah had transformers in it . man the modern biblical tale kills <elongated> it . <hashtag> what are the living rock people for </hashtag>,1
@GeekDadGamer My neice (4 or 5 at the time) *loved* playing Mario Kart 8 with her dad using the acceleration and steering assists. Before that she was mostly a spectator while he played kid-friendly games like Ape Escape.,0
@DuncanEdwards03 @PoliticsForAlI Well I doubt they're trying to smash the doors in to change the regulation of cough medicine.,1
currently los bombing student aces remain on board the volleyball court physics and math tests in the classroom. # usc studentathlete,1
why can i hear a chicken ? this is fulham for gods sake !,0
"<user> i infer that you are besmirching coffee , but that can not be right",0
"digital drumsticks , thanks grandma and grandpa <url>",1
nah fuck u and all ur issues,0
my last final today then straight to my surgeons <hashtag> what a good week </hashtag>,1
<user> <user> yes . i want to honor someone who died so i will go steal a tv and xbox and whatever else i feel entitled to,1
so excited for a whole new episode <allcaps> rhoa </allcaps> love this show ! <repeated>,0
<user> i was tempted but i did not want to one up your tats with mine,0
"<user> <user> zero place for that . when the karma train finds raiola , i hope it has a full head of steam",0
"and it ' s freezing , yay ! <url>",1
a <money> phone bill is a lovely email to wake up to,1
rest in peace riff god ! <hashtag> dimebag </hashtag> <hashtag> darrell </hashtag> <hashtag> is </hashtag> <hashtag> dead </hashtag> <hashtag> pantera </hashtag>,0
"me can don ’ t wait enough to get home take a big ass antihistamine and roll in about some nasty topical testosterone steroids. damn it, skin! so what harm did am i ever do this to you?!?!",1
<user> definitely consult a tax professional on that one .,0
what was a so wonderful little time feels to have have your ac go back out https : / / www t. net co / pdf jqjqg1dgoa,1
mt darth vader is polling higher than all potential <number> us presidential candidates <url> you surprised ?,1
"dragging her feet , smacking her lips , and scowling at the empty street while screaming into the phone . ! <repeated> such grace . ! <repeated> ☹",1
can n ’ and t help wait to see ed haydn sheeran at london tramlines tomoz x,1
<allcaps> the world </allcaps> ' <allcaps> s biggest online job </allcaps> click and get started now ! <url>,0
"#DominicCummings Sack him. Or better yet, charge him.",0
simply having a wonderful christmas time <laugh>,0
"hello i woke up last night to myself grouping psychoactive drugs out loud in my sleep-i’m so ready for finals to be over, wow!",0
so in loveee🥵😍,0
"thinking of graduating from oxbridge and then making £800,000 per year from a weekly newspaper column exploring such topics as “the much-maligned cauliflower”",0
"<user> yeah i did , because it did not show the convo and stuff , was gonna text it you but no <happy>",0
<user> doing a great job . <repeated> what do i pay my extortionate council taxes for ? <hashtag> disgrace </hashtag> <hashtag> ongoing problem </hashtag> <url>,1
I’m sad I didn’t get to decorate my grad cap but I would have been to lazy to do it anyways,0
breaking my strict buying hiatus to get lisa’s album? it’s much more likely than you’d think,1
"""friends""",1
when you are sick and you feel bad for your cells cause they are fighting hard for you . <hashtag> blessed </hashtag> <hashtag> appreciative </hashtag> <hashtag> kinda </hashtag>,1
finally <number> will be a worry free year for me .,1
<user> do not say anything . <repeated> just retweet it <url> <user> <user> <user>,0
"Domesticated, still a little feral",0
THREE of my friends are doing their vivas this week and I am EXCITED FOR CELEBRATIONS 🍾,0
@ ar avatarodin @ aubviouslynot sounds very like the current american animated dream channel ngl,1
my professor has been fighting with his dog most of class lmao,0
<user> <number> <allcaps> hour car ride and i cant sleep in cars yayaayayayayay </allcaps> . have fun bff !,1
"these two two pretty girls are on the beach in fancy lawn chair chairs, where i love shoobies",1
"Oh my goodness. It’s the first week of the summer holidays and Harrison has found his recorder. 

Give.
Me.
Strength.",1
emotionally overthinking... everything in life really takes a crushing toll down on you,1
"Back from Nashville... I missed this little girl, even though she… https://t.co/eN8q2YEyua",0
Home made pizza is in the oven! We've made one each so there'll be leftovers for lunch tomorrow. 😋,0
please i just want a gp that can prescribe me my bridging hormones,0
"if we win against poland and scotland , does that put us 6 5 th in the world rankings . <user> <user>",1
late night snuggles with my boy 💜 💕,0
"in the last <number> movies i have seen alan arkin in argo , grudgematch he has had me absolutely rolling .",0
Has any couple ever put furniture together and stayed together afterwards??? Asking for myself,1
nerd <hashtag> pic collage </hashtag> having a bit of fun with georgia <hashtag> nerd </hashtag> <hashtag> chistmas </hashtag> <hashtag> silly billy </hashtag> chilling on my comfy . <repeated> <url>,0
"religion is unfounded , else , allah would have saved the kids . . <user> <user> <hashtag> peshawar attack </hashtag> <hashtag> pak school siege </hashtag>",1
Raging debate on the importance of an Orlando Magic Summer League Championship. Definitely a notch below 6 if decided by coin flip. https://t.co/LG0VRwkrKO,1
I'm A VeGeTaRiAN BuT I eAt FiSh 🙃🙃🙃,1
"orange is a fruit, a flavour and a colour and an orange is all three combined, madness",0
friendship is such a beautiful thing and deserves more credit than it gets,0
my current christmas song obsession . played it non stop all weekend <url> via <user>,1
modern family is a quality show,0
love working hard trying to fix other people ' s fuck ups,1
my car is definitely acting up little again except for like the 3rd year in a row today and now i ’ ’ m officially just going to drive along it into the hudson river at the point,1
<user> absolutely ! i have no life so that should not be a hard thing to do . haha,0
if anyone wants anybody to know how my good nights going i ever tried at making me a really private story on snapchat and probably instead made me a personal group chat...... i hate my life,1
<user> <user> sent it but too slow . i had already posted .,0
all the shade i have been hearing about ben platt being practically unbelievable acting as a rebellious teenager in the @ dearevanhansen movie boggles me. does you nobody have forgotten any memories of grease??? name only 1 male actor on that film who believably still looked high at school middle age!,1
<user> <user> i will take the physical challenge !,0
<user> <user> what ' s going on with sharks hair ? looks like the council has cut it,0
"<user> <user> <user> hope you have more ambition john , cause no one else seems too .",1
my dorm is actually really creepy when i am the only one in it . <repeated> 😖,0
also the only verb that i forgot was to forget,1
shout out — james van boswell # 39 unibowl,1
Who signed me up for a lifetime subscription to my own thoughts,0
<user> <user> putting <number> between muhammad and ali ? i find your own twitter id quite blasphemic and offending,1
"<user> hello , can you give me an guess when xbox core services will be fixed ?",0
and why this is just this 30 yr old man trying to aggressively flirt w / me at this wedding and talking about having getting far away with dating her younger innocent girls. please sir i will now call the authorities,1
studying history reading <hashtag> game of thrones </hashtag> <hashtag> a song of ice </hashtag> and fire,1
"My college will be starting its fall semester, the first semester of my senior year, online. 

The announcement came eight days before RAs would have moved in. Leases have already been signed; flights were already bought. 

And for the cherry on top, they're increasing tuition.",0
it ' s always nice when a teacher does not leave lesson plans for their sub . <repeated>,1
#McflyAllAboutUs got me right in the feels ❤️,0
victoria has had a huge crush on queen maluma,1
Words cannot express how much I HATE glitter,0
we love me mixed with [UNK],1
<user> hey i seen u have followed me and i was going to ask to check out my channel and help me with a shoutout for subscribers ? <repeated>,0
"Watching all these important venues closing over time sucks horribly, but this one hurts. Fuck. #FabricReview",0
remember to raise a glass of merry to those who are at work keeping the world safe on christmas 🌎 🎄 🌏 🎅 🌍 ❄ 🚑 🚒 🚓 🚁 🚢 <hashtag> essential service </hashtag>,0
employer : ′ so what are your strengths me : i ’ m too smart but i ’ m funny i ’ m nice i ’ m cool i ’ m creative i ’ m totally hardworking i ’ • m smart made of wood i ’ m honest i ’ ′ m fast i ’ m awesome i ’ m hot i ’ and m chronically ill ‘ i ’ m little i ’ m in demand i ’ … m,1
BOSS BURGERS - POSSIBLY THE BEST BURGER I'VE EVER HAD,0
gavaskar is a freakin ' genius . <url>,1
"Just watched Homewrecker @grimmfest Halloween event, loved it! 🎃 #homewreckermovie #grimmfest",0
wow... if the whole universe gave around me the task courtesy of a potty boy training a whole new human? maybe the amazing audacity.,1
i love it when watching someone criticses my primary parenting class then when their adult eldest son cuts his left finger off with a bloody knife and breaks his leg by almost falling upside off a bike,1
<user> returning my brand new ps4 thanks to your faulty security . <hashtag> good job </hashtag>,1
"<user> <user> darn , my sock joke needs fixing ?",0
"@ www kellymartin _ links uk @ morrisons you ain ’ ’ re right, it just ’ s all one big conspiracy. you should risk boycott against the nhs trust too, they ’ re in danger on it as too well",1
i love being on hold . especially when the music is so great .,1
can tiktok pls stop trying to tell me i’m about to get into a long term relationship i’m literally on mental health watch rn i don’t have the time for that,0
How is it possible that Sly Stallone’s ‘Cobra’ is both the best and the worst movie ever made?,1
in sunny temperate spain everywhere at the moment!!! hows t it all happens in continental england?,1
@ project tylerthecreator @ microsoft staci _ com zr can see i really use this gnu chiamus interface for my online ap lang speech about virtual parallelism lmao,1
"@bobingtonus @anon_opin Hip flask ☑️
Dark rum ☑️
Peppermint cordial ❎
Will be going to get some later though. Inspired - nice one!",0
<user> <user> unity we stand all white people .,1
"our lord lord and almighty savior, uncle frank of ocean, has saved us all once and again.",1
merry christmas to all those soldiers out there that could not make it home ! i love you all ❤,0
Passed my theory,0
forest hills drive on my playlist naw . <repeated>,0
Not me seriously debating buying a singular can of monsta energy of amazon because I'm really craving one but I'd feel guilty if I went into Tesco just to buy one,0
by <user> 🔥 🔥 🔥 <user> gears up to release its next issue 🔜 ' wifey series ' with <hashtag> cover models </hashtag> . <repeated> <url>,0
"Got some beers in for the keynote, roll on 6pm",0
6 more drill hours more and so then three a hundred whoppingly massive 2days kick off work! wowzers!,1
Accidentally made a friend in ASL today. I hate when that happens.,1
Last night I wanted a quesadilla so bad but I ate salad. Now though??? My time has come. I am eating a quesadilla.,0
man pepsico loves to add 700 750g tablets of sugar to be a pure mixture product of their existing flavors of vanilla sodas and simply call on it a new flavor version of dew or vanilla pepsi...,1
Headaches that last all day nonstop🥰😍,1
” today … my pop - pop instructor told me i was not “ forced ” anybody to … go to medical college [UNK] okay sure ee sureeee,1
i was watching birds fly during this photo . <url>,0
also that jacket he normally wore wearing yesterday i ’ ’ m gonna rip up my eyes brains out : /,1
perhaps my favourite favorite gay drama troupe is the social network,1
<user> has passed <user> as the world ' s most valuable <hashtag> startup </hashtag> ! <hashtag> growth </hashtag> <hashtag> nyc </hashtag> <url>,0
"russia says ruble crisis over as reserves dive , inflation climbs <url> via <user>",1
my eccentric neighbors taunting me sneak outside from my office window by chilling in full their hot tub for every remotely warm sunny day whilst i sit here on back - to - back zooms all day every full day. the resulting audacity scene is visually astonishing.,1
<hashtag> obama </hashtag> <user> announce special urgent package for <hashtag> pakistan </hashtag> . <repeated> supported by <user> to enhance their fight against obscurantists .,1
are sororities upset that their sisters are making their organizations look bad or that the world sees how some of them act ? <hashtag> sorority sisters </hashtag>,0
<user> <hashtag> skill </hashtag> support compyuter system < < what is your idea < > robotway,0
"Can media, press, and general dickheads stop spinning the narrative that it’s a women’s job to stay safe and vigilant when they have not experienced themselves how terrifying it is walking alone at any given time of the day? https://t.co/85yKt7Xngm",0
just got a strawberry coconut refresher from @dunkindonuts and it’s so sour i think the milk is expired 🥴,0
"the most embarrassing thing ever just happened to me oh my god
waiting at the les schwab tire for my tire to get repaired and they just drove my car up about 15 feet away from me and my phone connected to the bluetooth and i heard my car start BLASTING barbie tingz by nicki minaj",0
wow tim hortons cobourg is really on their a game today,1
Literally don’t fucking talk to me unless you are wearing a mask,0
. <user> yeah . tones are the most obvious things in tweets .,1
i am kinda missing summer <user> . . . <hashtag> summer </hashtag> <hashtag> 2 o14 </hashtag> <hashtag> bestie </hashtag> <hashtag> alena </hashtag> <hashtag> best friend </hashtag> <hashtag> idek </hashtag> <hashtag> we </hashtag> <hashtag> cool </hashtag> <hashtag> chips </hashtag> <hashtag> food </hashtag> <hashtag> follow me </hashtag> <hashtag> i foll </hashtag> . <repeated>,0
"i dont think it would matter , metric or english , he doesnt understand math <user> <user>",0
There is nothing new in an oliver james publication that can't be found elsewhere for free. He's a leftist living a straight bourgeois life,1
"Cool guy in a big truck honked really long at the garbage truck because it slowed down to turn; I felt he wanted everyone to know how cool he is, so I decided to tweet about it on his behalf.",1
"just ranted on and the moment i am about to hit send , my ipod just died . <hashtag> great morning </hashtag>",1
"@ moffstovoi well been done! with surely the better quality coaching equipment now presently available, can we finally expect ourselves a decent jolly wee victory tomorrow? [UNK]",1
"people complain about my backround pic and all i feel is like hey do not blame me , albert e might have spoken those words <hashtag> life </hashtag>",1
it scares me when i think about what things will be like a year from now ! <number>,0
"<user> after <number> , why did <allcaps> nato </allcaps> need to expand ?",0
mike smith and brian hoyer walk into a bar . they sit down and at the same time say i told you it wasn ' t all my fault <hashtag> coyotes </hashtag> <hashtag> browns </hashtag>,0
"#EconTwitter I'm working with bizreg data and there's a noticeable spike in Indiana in 2015, anyone have a sense as to what's going on? @JorgeGuzmanCBS? https://t.co/q01tmw9PLg",0
where can i hand me my notice out in searching for mental illness? been working hard at the pretty same thing for way too many long and now it ’ ′ s time for a big change.,1
i love giving a monthly lecture to grad students on a specific topic that i really don't very fully well understand tomorrow at 9 : 55 30am & lt ; 3 days i need buy a coffee lmao,1
Woah. This anime recommendation I am identifying with way too hard tbh. Because it is pretty spot on. It is also so dark I should probably not even mention the name. owo,0
ugly christmas sweater <hashtag> ugly christmas sweaters </hashtag> <hashtag> happy holidays </hashtag> <hashtag> merry christmas </hashtag> <hashtag> kisses and hugs </hashtag> . <repeated> <url>,0
lord have mercy on us . the world ' s most powerful nation is ruled by two families . <hashtag> bush </hashtag> <hashtag> clinton </hashtag> <hashtag> wasps </hashtag> <hashtag> elxn 2016 </hashtag> <url>,0
"Heard a rumor that Baja Blast is coming to stores and regardless if anything else I hope for in life falls through, at least I'll have this.",1
Hahahah @LibertyU is shutting down the entire campus for quarantine!! Couldn’t happen to a nicer group of Covid deniers! #CovidIsNotOver #karmaisabitch #Covid_19,1
"stop trying to make me post my location , twitter . i do not want to post my location . stop .",0
@GainzyXBT Actually I've extrapolated based on the last daily candle and it turns out BTC will be sub-zero by December. The math doesn't lie.,1
""" i absolutely can'″ t wait to never be a goddamn piece of shit with a shitty bachelors law degree """,1
it ’ ′ s really very selfish of silverstone to never be saying the 2022 grand prix is 1 / 7 - 3 / 7 cause my current holiday year starts on thursday 1 / 7 and i certainly would have preferred to use a per day of this years special holiday allowance to buy go. i should have been consulted on really [UNK],1
had to take a <hashtag> patio pics </hashtag> snow falling still . this was totally clear when i went to sleep . <hashtag> wcco </hashtag> <url>,0
stl . you will never win again rt <user> new manager ? new striker ? new transfer committee ? cont <url>,0
"me : bio revises cells + stuff other general medical biology stuff edexcel : "" i want me a fit every summer day bod, get with them to kindly tell us me how i get formula one "" # edexcelbiology # gcses2018",1
"Man-spider. The story of a spider who's bitten by a human and now has the powers of a human. Working in an office, wasting money on artisan coffee, and giving up his bus seat to a woman who turns out not to be pregnant, but just ""likes sandwiches you a-h*le"".
#IntoTheSpiderVerse",1
"@ jimrossignol i choose to interpret it colloquially as "" xd "" : the universal emoticon designed for consumers laughing loudly at those poor, poor folks in ubisoft's main marketing department who obviously have yet to deal with that brand branding until the servers will quietly shut down 8 months after launch.",1
"<user> gotta hand it to them , really . 👏 👏 👏",0
"Before going to Lush: I’m just gonna buy 2 bath bombs nothing crazy 😇

Me walking out: *holding 4 bath bombs, 2 lip scrubs, 3 shower gels*",0
went neck deep in a swamp today so that was fun <hashtag> chilly </hashtag>,1
why did not i start watching the tudors earlier ? <hashtag> i love it </hashtag>,0
gutted doyle has gone back to <hashtag> wwf c </hashtag> . i do not think we saw what he ' s capable of . <hashtag> cpfc </hashtag>,1
yay its fucking monday life is so perfect and magical i love everything,1
you know it ' s going to be a great day when you are garmin resets itself and you spill some cinnamon down yourself <hashtag> slow clap </hashtag>,1
god wow i love only them ever buying gray and striped striped shirts,1
@ jacobwohlreport how do i need you to aquire a wife exactly before this engagement happens or or will either i be legally assigned for one?,1
<user> heh as if <user> and average work in the same sentence !,1
@McDonaldsUK Would love a cheeky McDonald’s breakfast before a busy day at work would set the day off on the right foot ! 💓 #FancyAMcDonalds,1
Best night ever 💜,0
"Not sure if I like the updated font on Twitter yet, but those black and white buttons/icons are not it…",0
thinking about how no one now is ever obsessed enough with me [UNK],1
<user> i miss seeing your face and t rex hands everyday on vlogmas 😭 😘 rexemoji 🙈,1
<user> i do love a chilled night in . saves having a hangover to 😂 thank you hun x,0
but i love her leaving the empty doctors office screaming in tears. i need this spoiled kid somewhere to just just really decide to leave my body so someday we can be done and home together.,1
<user> the good old days !,1
• thanks @ myhermes for losing my parcel but giving me someone else's. maybe i'm nice enough to willingly go give me it away to them anyway though. • please have dm email me back very soon [UNK],1
going to my class <hashtag> fuck you </hashtag> important,0
They really took friends off Netflix 😭😩🤦🏼‍♀️ what am I suppose to watch now??!??!!,1
stomach flu once again . <repeated> what a surprise . 😒 😷,1
Currently feeling very disappointed in people that I know. Just wow.,0
someone hit me w a horse tranquilizer istg ive been in a pool of sweat for 6 hours and i havent slept im so tired but i love my friend so much and oh my fucking god i cant rn,1
"was Chris Harrison really that fundamental to the bachelor?? what are they gonna do, forget how to function when there’s one rose left???",0
session at the local <hashtag> 1 st photo </hashtag> <hashtag> rekt ek </hashtag> <hashtag> bmx </hashtag> <hashtag> look mam no hands </hashtag> <hashtag> flying </hashtag> <hashtag> falling with style </hashtag> <url>,0
damned if you do . <repeated> <url> <hashtag> communication </hashtag> <hashtag> truth </hashtag> via <user>,0
"I've started an etsy shop selling handmade clay earrings, scrunchies + soy wax melts! If you want to #shopsmall this xmas follow https://t.co/xE61WGtOiw + https://t.co/skxXufeyx0  We have zero single use plastic packaging AND I'm looking to work with bloggers! #bloggersrequired https://t.co/T45vwzKebD",0
Lil Pump is the Nelson Mandela of our generation,1
the way piers morgan defenders will say that freedom of speech is dead as if piers didn’t have the freedom to spout nonsense about meghan markle for years. i’m afraid what he’s experiencing now are these little things called consequences 🙄🙄 #piersmorgan,0
"<user> i think being gay is wrong , its like people chose to be gay just to piss off the magic old man that lives in the sky",1
it's quite funny when my mom thinks i possess practically no remorse or when i really feel remorse everyday for existing feelings [UNK],1
• when you get woken up at 3am because instead of severe aftershocks resulting from triggering an electrical earthquake [UNK],1
Trains are so unreliable 🙄,0
"it ' s really <hashtag> good </hashtag> , too have the <hashtag> reputation </hashtag> for <allcaps> stealing from girls </allcaps> . <user> and mr . <allcaps> mason </allcaps> , . <repeated> expect a call , . <repeated>",0
in need of a rose winee 🍷 🍷,0
yooo ashton posted elijah on his story 🤩🤩🤩,0
"<user> <user> wasn ' t that full in the nosebleeds where i was sitting , but it was fun ! crowd reacting to joepa is my fav memory .",0
"hearing i love you today is nice and disturbing all, but has your so ever before told anyone you wanted to eat some shit? 中 [UNK]... ugh @ dev samduhclam",1
"Synthwave communities really love pessimism don't they haha
Any upbeat energy and people get upset at ya",1
love these guys ! rt <user> tried to get the whole family in ! <hashtag> selfie stick </hashtag> <user> <url>,0
summer just fully went to me: speaking of singstar ... hun ? we weren’t even talking,0
